athlete_name,short_name,athlete_gender,athlete_birth_date,athlete_birth_place,athlete_birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
ABDELAZIZ Farah,ABDELAZIZ F,Female,00:00.0,,,Egypt,EGY,Table Tennis,TTE,,,,../../../en/results/table-tennis/athlete-profile-n1296357-abdelaziz-farah.htm
ABDELAZIZ Feryal,ABDELAZIZ F,Female,00:00.0,,,Egypt,EGY,Karate,KTE,CAIRO,Egypt,,../../../en/results/karate/athlete-profile-n1306348-abdelaziz-feryal.htm
ABDELMAWGOUD Mohamed,ABDELMAWGOUD M,Male,00:00.0,,,Egypt,EGY,Judo,JUD,,,,../../../en/results/judo/athlete-profile-n1301783-abdelmawgoud-mohamed.htm
ABDELMOTTALEB Diaaeldin Kamal Gouda,ABDELMOTTALEB DKG,Male,00:00.0,,,Egypt,EGY,Wrestling,WRE,,,,../../../en/results/wrestling/athlete-profile-n1307194-abdelmottaleb-diaaeldin-kamal-gouda.htm
ABDELRAHMAN Ihab,ABDELRAHMAN I,Male,00:00.0,,Egypt,Egypt,EGY,Athletics,ATH,EGYPT,,,../../../en/results/athletics/athlete-profile-n1312038-abdelrahman-ihab.htm
ABDELSALAM Mohamed,ABDELSALAM M,Male,00:00.0,,Egypt,Egypt,EGY,Football,FBL,,,1.77/5'9'',../../../en/results/football/athlete-profile-n1381598-abdelsalam-mohamed.htm
ABDELSALAM Nour,ABDELSALAM N,Female,00:00.0,,,Egypt,EGY,Taekwondo,TKW,,,,../../../en/results/taekwondo/athlete-profile-n1313054-abdelsalam-nour.htm
ABDELWAHED Ahmed,ABDELWAHED A,Male,00:00.0,ROME,Italy,Italy,ITA,Athletics,ATH,CAMERINO,Italy,,../../../en/results/athletics/athlete-profile-n1305691-abdelwahed-ahmed.htm
ABDI Bashir,ABDI B,Male,00:00.0,MOGADISHU,Somalia,Belgium,BEL,Athletics,ATH,GHENT,Belgium,,../../../en/results/athletics/athlete-profile-n1401953-abdi-bashir.htm
ABDIRAHMAN Abdi,ABDIRAHMAN A,Male,00:00.0,MOGADISHU,Somalia,United States of America,USA,Athletics,ATH,"TUCSON, AZ",United States of America,,../../../en/results/athletics/athlete-profile-n1363139-abdirahman-abdi.htm
ABDUL HADI Farah Ann,ABDUL HADI FA,Female,00:00.0,SUBANG JAYA,Malaysia,Malaysia,MAS,Artistic Gymnastics,GAR,SUBANG JAYA,Malaysia,1.65/5'4'',../../../en/results/artistic-gymnastics/athlete-profile-n1464004-abdul-hadi-farah-ann.htm
ABDUL RAHMAN Kiria Tikanah,ABDUL RAHMAN KT,Female,00:00.0,,,Singapore,SGP,Fencing,FEN,,,,../../../en/results/fencing/athlete-profile-n1359420-abdul-rahman-kiria-tikanah.htm
ABDUL RAZZAQ Fathimath Nabaaha,ABDUL RAZZAQ FN,Female,00:00.0,,,Maldives,MDV,Badminton,BDM,,,,../../../en/results/badminton/athlete-profile-n1798789-abdul-razzaq-fathimath-nabaaha.htm
ABDULHAMID Saud,ABDULHAMID S,Male,00:00.0,,Saudi Arabia,Saudi Arabia,KSA,Football,FBL,,,1.71/5'7'',../../../en/results/football/athlete-profile-n1484611-abdulhamid-saud.htm
ABDULJABBAR Ammar Riad,ABDULJABBAR AR,Male,00:00.0,,,Germany,GER,Boxing,BOX,HAMBURG,Germany,,../../../en/results/boxing/athlete-profile-n1327781-abduljabbar-ammar-riad.htm
ABDULLAEV Gulomjon,ABDULLAEV G,Male,00:00.0,,,Uzbekistan,UZB,Wrestling,WRE,URGENCH,Uzbekistan,,../../../en/results/wrestling/athlete-profile-n1285960-abdullaev-gulomjon.htm
ABDULLAEV Muminjon,ABDULLAEV M,Male,00:00.0,,Uzbekistan,Uzbekistan,UZB,Wrestling,WRE,TASHKENT,Uzbekistan,,../../../en/results/wrestling/athlete-profile-n1284000-abdullaev-muminjon.htm
ABDULLAH Rahmat Erwin,ABDULLAH RE,Male,00:00.0,MAKASSAR,Indonesia,Indonesia,INA,Weightlifting,WLF,MAKASSAR,Indonesia,,../../../en/results/weightlifting/athlete-profile-n1321507-abdullah-rahmat-erwin.htm
ABDULLAYEV Mahammad,ABDULLAYEV M,Male,00:00.0,,,Azerbaijan,AZE,Boxing,BOX,BAKU,Azerbaijan,,../../../en/results/boxing/athlete-profile-n1436411-abdullayev-mahammad.htm
ABDULLIN Ilfat,ABDULLIN I,Male,00:00.0,TALDYKORGAN,Kazakhstan,Kazakhstan,KAZ,Archery,ARC,TALDYKORGAN,Kazakhstan,,../../../en/results/archery/athlete-profile-n1306001-abdullin-ilfat.htm
ABDULREDHA Mohamed,ABDULREDHA M,Male,00:00.0,,Bahrain,Bahrain,BRN,Handball,HBL,,,1.83/6'0'',../../../en/results/handball/athlete-profile-n1301070-abdulredha-mohamed.htm
ABDURAIMOV Elnur,ABDURAIMOV E,Male,00:00.0,CHIRCHIQ,Uzbekistan,Uzbekistan,UZB,Boxing,BOX,UNITED STATES OF AMERICA,,,../../../en/results/boxing/athlete-profile-n1312182-abduraimov-elnur.htm
ABDURAKHIMOV Rasuljon,ABDURAKHIMOV R,Male,00:00.0,FERGANA,Uzbekistan,Uzbekistan,UZB,Artistic Gymnastics,GAR,TASHKENT,Uzbekistan,1.64/5'4'',../../../en/results/artistic-gymnastics/athlete-profile-n1285163-abdurakhimov-rasuljon.htm
ABDURAKHMONOV Bekzod,ABDURAKHMONOV B,Male,00:00.0,TASHKENT,Uzbekistan,Uzbekistan,UZB,Wrestling,WRE,"BOSTON, MA",United States of America,,../../../en/results/wrestling/athlete-profile-n1285952-abdurakhmonov-bekzod.htm
ABE Hifumi,ABE H,Male,00:00.0,KOBE,Japan,Japan,JPN,Judo,JUD,,,,../../../en/results/judo/athlete-profile-n1315347-abe-hifumi.htm
ABE Takatoshi,ABE T,Male,00:00.0,OKAYAMA,Japan,Japan,JPN,Athletics,ATH,TOKYO,Japan,,../../../en/results/athletics/athlete-profile-n1319304-abe-takatoshi.htm
ABE Uta,ABE U,Female,00:00.0,KOBE,Japan,Japan,JPN,Judo,JUD,,,,../../../en/results/judo/athlete-profile-n1315319-abe-uta.htm
ABEBE Mekides,ABEBE M,Female,00:00.0,,,Ethiopia,ETH,Athletics,ATH,,,,../../../en/results/athletics/athlete-profile-n1450589-abebe-mekides.htm
ABEDINI Mojtaba,ABEDINI M,Male,00:00.0,TEHRAN,Islamic Republic of Iran,Islamic Republic of Iran,IRI,Fencing,FEN,,,,../../../en/results/fencing/athlete-profile-n1289091-abedini-mojtaba.htm
ABEL Jennifer,ABEL J,Female,00:00.0,"MONTREAL, QC",Canada,Canada,CAN,Diving,DIV,"MONTREAL, QC",Canada,1.60/5'2'',../../../en/results/diving/athlete-profile-n1469699-abel-jennifer.htm
ABELA Matthew,ABELA M,Male,00:00.0,PIETA,Malta,Malta,MLT,Badminton,BDM,DENMARK,,,../../../en/results/badminton/athlete-profile-n1284065-abela-matthew.htm
ABELVIK ROED Magnus,ABELVIK ROED M,Male,00:00.0,OSLO,Norway,Norway,NOR,Handball,HBL,FLENSBURG,Germany,2.04/6'8'',../../../en/results/handball/athlete-profile-n1343652-abelvik-roed-magnus.htm
ABEYSINGHE Matthew,ABEYSINGHE M,Male,00:00.0,,United States of America,Sri Lanka,SRI,Swimming,SWM,UNITED STATES OF AMERICA,,,../../../en/results/swimming/athlete-profile-n1457675-abeysinghe-matthew.htm
ABIAN Pablo,ABIAN P,Male,00:00.0,CALATAYUD,Spain,Spain,ESP,Badminton,BDM,MADRID,Spain,1.78/5'10'',../../../en/results/badminton/athlete-profile-n1354754-abian-pablo.htm
ABICHA Mohammed,ABICHA M,Male,00:00.0,FEZ,Morocco,Morocco,MAR,Beach Volleyball,VBV,FEZ,Morocco,1.93/6'3'',../../../en/results/beach-volleyball/athlete-profile-n1428701-abicha-mohammed.htm
ABICHT Lorena,ABICHT L,Female,00:00.0,,,Austria,AUT,Sailing,SAL,,,1.75/5'8'',../../../en/results/sailing/athlete-profile-n1330779-abicht-lorena.htm
ABIDINE Abidine,ABIDINE A,Male,00:00.0,,,Mauritania,MTN,Athletics,ATH,,,,../../../en/results/athletics/athlete-profile-n1307563-abidine-abidine.htm
ABLIAZIN Denis,ABLIAZIN D,Male,00:00.0,PENZA,Russian Federation,ROC,ROC,Artistic Gymnastics,GAR,PENZA,Russian Federation,1.60/5'2'',../../../en/results/artistic-gymnastics/athlete-profile-n1406250-abliazin-denis.htm
ABNER,ABNER,Male,00:00.0,PRESIDENTE PRUDENTE,Brazil,Brazil,BRA,Football,FBL,,,1.81/5'11'',../../../en/results/football/athlete-profile-n1351464-abner.htm
ABOUD Hadel,ABOUD H,Female,00:00.0,,,Libya,LBA,Athletics,ATH,,,,../../../en/results/athletics/athlete-profile-n1518857-aboud-hadel.htm
ABOUELKASSEM Alaaeldin,ABOUELKASSEM A,Male,00:00.0,SETIF,Algeria,Egypt,EGY,Fencing,FEN,CAIRO,Egypt,,../../../en/results/fencing/athlete-profile-n1321978-abouelkassem-alaaeldin.htm
ABOUKE Nancy Genzel,ABOUKE NG,Female,00:00.0,,,Nauru,NRU,Weightlifting,WLF,,,,../../../en/results/weightlifting/athlete-profile-n1478734-abouke-nancy-genzel.htm
ABRAHAM Tadesse,ABRAHAM T,Male,00:00.0,ASMARA,Eritrea,Switzerland,SUI,Athletics,ATH,GENEVA,Switzerland,,../../../en/results/athletics/athlete-profile-n1465453-abraham-tadesse.htm
ABRAHAMS Rusten John,ABRAHAMS RJ,Male,00:00.0,,,South Africa,RSA,Hockey,HOC,JOHANNESBURG,South Africa,,../../../en/results/hockey/athlete-profile-n1337650-abrahams-rusten-john.htm
ABRAMS Aliyah,ABRAMS A,Female,00:00.0,"NEW YORK, NY",United States of America,Guyana,GUY,Athletics,ATH,UNITED STATES OF AMERICA,,,../../../en/results/athletics/athlete-profile-n1334678-abrams-aliyah.htm
ABRAMS Jasmine,ABRAMS J,Female,00:00.0,"NEW YORK, NY",United States of America,Guyana,GUY,Athletics,ATH,"ATLANTA, GA",United States of America,,../../../en/results/athletics/athlete-profile-n1459262-abrams-jasmine.htm
ABRAMYAN Benik,ABRAMYAN B,Male,00:00.0,,,Georgia,GEO,Athletics,ATH,,,,../../../en/results/athletics/athlete-profile-n1313358-abramyan-benik.htm
ABREU Diogo,ABREU D,Male,00:00.0,"STANFORD, CA",United States of America,Portugal,POR,Trampoline Gymnastics,GTR,LISBON,Portugal,1.83/6'0'',../../../en/results/trampoline-gymnastics/athlete-profile-n1449935-abreu-diogo.htm
ABRINES Alex,ABRINES A,Male,00:00.0,PALMA DE MALLORCA,Spain,Spain,ESP,Basketball,BKB,,,1.98/6'5'',../../../en/results/basketball/athlete-profile-n1765160-abrines-alex.htm
ABROSIMOV Kirill,ABROSIMOV K,Male,00:00.0,YAROSLAVL,Russian Federation,ROC,ROC,Marathon Swimming,OWS,YAROSLAVL,Russian Federation,,../../../en/results/marathon-swimming/athlete-profile-n1431408-abrosimov-kirill.htm
ABU RABEE Asma,ABU RABEE A,Female,00:00.0,,,Jordan,JOR,Shooting,SHO,,,,../../../en/results/shooting/athlete-profile-n1849510-abu-rabee-asma.htm
ABU RMILAH Wesam,ABU RMILAH W,Male,00:00.0,JERUSALEM,,Jordan,PLE,Judo,JUD,,,,../../../en/results/judo/athlete-profile-n1884707-abu-rmilah-wesam.htm
ABUAKU Joshua,ABUAKU J,Male,00:00.0,OBERHAUSEN,Germany,Germany,GER,Athletics,ATH,FRANKFURT AM MAIN,Germany,,../../../en/results/athletics/athlete-profile-n1347019-abuaku-joshua.htm
ABUJBARA Tala,ABUJBARA T,Female,00:00.0,"ANCHORAGE, AK",United States of America,Qatar,QAT,Rowing,ROW,DOHA,Qatar,1.78/5'10'',../../../en/results/rowing/athlete-profile-n1325069-abujbara-tala.htm
ACERENZA Domenico,ACERENZA D,Male,00:00.0,POTENZA,Italy,Italy,ITA,Swimming,SWM,POTENZA,Italy,,../../../en/results/swimming/athlete-profile-n1350377-acerenza-domenico.htm
ACETI Vladimir,ACETI V,Male,00:00.0,PETROZAVODSK,Russian Federation,Italy,ITA,Athletics,ATH,GIUSSANO,Italy,1.78/5'10'',../../../en/results/athletics/athlete-profile-n1295011-aceti-vladimir.htm
ACEVEDO Javier,ACEVEDO J,Male,00:00.0,"SCARBOROUGH, ON",Canada,Canada,CAN,Swimming,SWM,"TORONTO, ON",Canada,,../../../en/results/swimming/athlete-profile-n1459647-acevedo-javier.htm
ACHAB Jaouad,ACHAB J,Male,00:00.0,TANGER,Morocco,Belgium,BEL,Taekwondo,TKW,BRUSSELS,Belgium,,../../../en/results/taekwondo/athlete-profile-n1393661-achab-jaouad.htm
ACHANTA Kamal,ACHANTA K,Male,00:00.0,MACHILIPATNAM,India,India,IND,Table Tennis,TTE,CHENNAI,India,,../../../en/results/table-tennis/athlete-profile-n1307874-achanta-kamal.htm
ACHE Ragnar,ACHE R,Male,00:00.0,FRANKFURT AM MAIN,Germany,Germany,GER,Football,FBL,,,1.83/6'0'',../../../en/results/football/athlete-profile-n1325288-ache-ragnar.htm
ACHILLEOS Georgios,ACHILLEOS G,Male,00:00.0,LONDON,Great Britain,Great Britain,CYP,Shooting,SHO,,,1.75/5'8'',../../../en/results/shooting/athlete-profile-n1464052-achilleos-georgios.htm
ACHIUWA Precious,ACHIUWA P,Male,00:00.0,PORT HARCOURT,Nigeria,Nigeria,NGR,Basketball,BKB,,,2.03/6'7'',../../../en/results/basketball/athlete-profile-n1400561-achiuwa-precious.htm
ACHONWA Natalie,ACHONWA N,Female,00:00.0,"TORONTO, ON",Canada,Canada,CAN,Basketball,BKB,,,1.91/6'3'',../../../en/results/basketball/athlete-profile-n1432990-achonwa-natalie.htm
ACHOURI Haikel,ACHOURI H,Male,00:00.0,,,Tunisia,TUN,Wrestling,WRE,TUNIS,Tunisia,,../../../en/results/wrestling/athlete-profile-n1420788-achouri-haikel.htm
ACIN Nikola,ACIN N,Male,00:00.0,,,Serbia,SRB,Swimming,SWM,"WEST LAFAYETTE, IN",United States of America,,../../../en/results/swimming/athlete-profile-n1344107-acin-nikola.htm
ACKERMANN Simone,ACKERMANN S,Female,00:00.0,EAST LONDON,South Africa,,RSA,Triathlon,TRI,NEW ZEALAND,,,../../../en/results/triathlon/athlete-profile-n1297381-ackermann-simone.htm
ACOSTA Briseida,ACOSTA B,Female,00:00.0,NAVOLATO,Mexico,Mexico,MEX,Taekwondo,TKW,"MIAMI, FL",United States of America,,../../../en/results/taekwondo/athlete-profile-n1293759-acosta-briseida.htm
ACOSTA FERNANDEZ Yasmani,ACOSTA FERNANDEZ Y,Male,00:00.0,,Cuba,Chile,CHI,Wrestling,WRE,CHILE,,,../../../en/results/wrestling/athlete-profile-n1309938-acosta-fernandez-yasmani.htm
ACOSTA GIRALDO Valentina,ACOSTA GIRALDO V,Female,00:00.0,RISARALDA,Colombia,Colombia,COL,Archery,ARC,PEREIRA,Colombia,,../../../en/results/archery/athlete-profile-n1322474-acosta-giraldo-valentina.htm
ACOSTA Marcelo,ACOSTA M,Male,00:00.0,,El Salvador,El Salvador,ESA,Swimming,SWM,,,,../../../en/results/swimming/athlete-profile-n1328219-acosta-marcelo.htm
ACUNA Yenny,ACUNA Y,Female,00:00.0,IQUIQUE,Chile,Chile,CHI,Football,FBL,SANTIAGO,Chile,1.61/5'3'',../../../en/results/football/athlete-profile-n1332431-acuna-yenny.htm
ADACHI Kazuya,ADACHI K,Male,00:00.0,SAGAMIHARA,Japan,Japan,JPN,Canoe Slalom,CSL,HAGI,Japan,,../../../en/results/canoe-slalom/athlete-profile-n1313802-adachi-kazuya.htm
ADACHI Seiya,ADACHI S,Male,00:00.0,KAKAMIGAHARA,Japan,Japan,JPN,Water Polo,WPO,,,1.72/5'7'',../../../en/results/water-polo/athlete-profile-n1316488-adachi-seiya.htm
ADAM Amal,ADAM A,Female,00:00.0,,,Egypt,EGY,Archery,ARC,,,,../../../en/results/archery/athlete-profile-n1378864-adam-amal.htm
ADAM Constantin,ADAM C,Male,00:00.0,CALARASI,Romania,Romania,ROU,Rowing,ROW,SILISTEA SNAGOVULUI,Romania,2.03/6'7'',../../../en/results/rowing/athlete-profile-n1285944-adam-constantin.htm
ADAMEK Klaudia,ADAMEK K,Female,00:00.0,,,Poland,POL,Athletics,ATH,PILA,Poland,,../../../en/results/athletics/athlete-profile-n1324426-adamek-klaudia.htm
ADAMKIEWICZ Patrycja,ADAMKIEWICZ P,Female,00:00.0,,,Poland,POL,Taekwondo,TKW,POLAND,,,../../../en/results/taekwondo/athlete-profile-n1312363-adamkiewicz-patrycja.htm
ADAMS Liam,ADAMS L,Male,00:00.0,"MELBOURNE, VIC",Australia,Australia,AUS,Athletics,ATH,"MELBOURNE, VIC",Australia,,../../../en/results/athletics/athlete-profile-n1481512-adams-liam.htm
ADAMS Paul,ADAMS P,Male,00:00.0,"TOOWOOMBA, QLD",Australia,Australia,AUS,Shooting,SHO,"BRISBANE, QLD",Australia,1.85/6'0'',../../../en/results/shooting/athlete-profile-n1349681-adams-paul.htm
ADAMS Taeyanna,ADAMS T,Female,00:00.0,"KONA, HI",United States of America,Federated States of Micronesia,FSM,Swimming,SWM,FEDERATED STATES OF MICRONESIA,,,../../../en/results/swimming/athlete-profile-n1311419-adams-taeyanna.htm
ADAMS Valerie,ADAMS V,Female,00:00.0,ROTORUA,New Zealand,New Zealand,NZL,Athletics,ATH,AUCKLAND,New Zealand,,../../../en/results/athletics/athlete-profile-n1469883-adams-valerie.htm
ADAMUS Bartlomiej Stefan,ADAMUS BS,Male,00:00.0,,,Poland,POL,Weightlifting,WLF,,,1.83/6'0'',../../../en/results/weightlifting/athlete-profile-n1325175-adamus-bartlomiej-stefan.htm
ADAR Yasemin,ADAR Y,Female,00:00.0,BALIKESIR,Turkey,Turkey,TUR,Wrestling,WRE,EDIRNE,Turkey,,../../../en/results/wrestling/athlete-profile-n1382524-adar-yasemin.htm
ADEBAYO Bam,ADEBAYO B,Male,00:00.0,"NEWARK, NJ",United States of America,United States of America,USA,Basketball,BKB,,,2.06/6'9'',../../../en/results/basketball/athlete-profile-n1312780-adebayo-bam.htm
ADEGOKE Enoch,ADEGOKE E,Male,00:00.0,,,Nigeria,NGR,Athletics,ATH,SHAKI,Nigeria,,../../../en/results/athletics/athlete-profile-n1386905-adegoke-enoch.htm
ADEKUOROYE Odunayo Folasade,ADEKUOROYE OF,Female,00:00.0,AKURE,Nigeria,Nigeria,NGR,Wrestling,WRE,,,,../../../en/results/wrestling/athlete-profile-n1350931-adekuoroye-odunayo-folasade.htm
ADEL Ibrahim,ADEL I,Male,00:00.0,PORT SAID,Egypt,Egypt,EGY,Football,FBL,,,1.78/5'10'',../../../en/results/football/athlete-profile-n1376999-adel-ibrahim.htm
ADENIYI Aminat Oluwafunmilayo,ADENIYI AO,Female,00:00.0,AKURE,Nigeria,Nigeria,NGR,Wrestling,WRE,LAGOS,Nigeria,,../../../en/results/wrestling/athlete-profile-n1351136-adeniyi-aminat-oluwafunmilayo.htm
ADESOKAN Dorcas Ajoke,ADESOKAN DA,Female,00:00.0,,Nigeria,Nigeria,NGR,Badminton,BDM,ABEOKUTA,Nigeria,,../../../en/results/badminton/athlete-profile-n1366795-adesokan-dorcas-ajoke.htm
ADILKHANOVA Alina,ADILKHANOVA A,Female,00:00.0,KARAGANDA,Kazakhstan,Kazakhstan,KAZ,Rhythmic Gymnastics,GRY,SHYMKENT,Kazakhstan,,../../../en/results/rhythmic-gymnastics/athlete-profile-n1307017-adilkhanova-alina.htm
ADLERTEG Jonna,ADLERTEG J,Female,00:00.0,VASTERAS,Sweden,Sweden,SWE,Artistic Gymnastics,GAR,VASTERAS,Sweden,,../../../en/results/artistic-gymnastics/athlete-profile-n1352229-adlerteg-jonna.htm
ADLINGTON Sarah,ADLINGTON S,Female,00:00.0,SHREWSBURY,Great Britain,Great Britain,GBR,Judo,JUD,EDINBURGH,Great Britain,1.86/6'1'',../../../en/results/judo/athlete-profile-n1440148-adlington-sarah.htm
ADO Pauline,ADO P,Female,00:00.0,BAYONNE,France,France,FRA,Surfing,SRF,ANGLET,France,,../../../en/results/surfing/athlete-profile-n1381745-ado-pauline.htm
ADOLF Balazs,ADOLF B,Male,00:00.0,,,Hungary,HUN,Canoe Sprint,CSP,,,1.88/6'2'',../../../en/results/canoe-sprint/athlete-profile-n1301815-adolf-balazs.htm
ADOMAVICIUS Aurimas,ADOMAVICIUS A,Male,00:00.0,KAUNAS,Lithuania,Lithuania,LTU,Rowing,ROW,KAUNAS,Lithuania,,../../../en/results/rowing/athlete-profile-n1291077-adomavicius-aurimas.htm
AEDO Yanara,AEDO Y,Female,00:00.0,TEMUCO,Chile,Chile,CHI,Football,FBL,MADRID,Spain,1.55/5'1'',../../../en/results/football/athlete-profile-n1332435-aedo-yanara.htm
AERNOUDTS Violaine,AERNOUDTS V,Female,00:00.0,ALENCON,France,France,FRA,Rowing,ROW,LILLE,France,1.73/5'8'',../../../en/results/rowing/athlete-profile-n1325544-aernoudts-violaine.htm
AFANADOR Brian,AFANADOR B,Male,00:00.0,UTUADO,Puerto Rico,United States of America,PUR,Table Tennis,TTE,PUERTO RICO,,,../../../en/results/table-tennis/athlete-profile-n1296235-afanador-brian.htm
AFONSO Paixao,AFONSO P,Male,00:00.0,LUANDA,Angola,Angola,ANG,Sailing,SAL,,,1.77/5'9'',../../../en/results/sailing/athlete-profile-n1429019-afonso-paixao.htm
AFONSO Salome,AFONSO S,Female,00:00.0,LISBON,Portugal,Portugal,POR,Athletics,ATH,LISBON,Portugal,,../../../en/results/athletics/athlete-profile-n1450180-afonso-salome.htm
AFOUMBA Gilles Anthony,AFOUMBA GA,Male,00:00.0,,,Congo,CGO,Athletics,ATH,FRANCE,,,../../../en/results/athletics/athlete-profile-n1298940-afoumba-gilles-anthony.htm
AFREMOVA Natalia,AFREMOVA N,Female,00:00.0,PENZA,Russian Federation,ROC,ROC,Cycling BMX Racing,BMX,PENZA,Russian Federation,1.64/5'4'',../../../en/results/cycling-bmx-racing/athlete-profile-n1425461-afremova-natalia.htm
AFRIAT Charlotte,AFRIAT C,Female,00:00.0,NICE,France,Monaco,MON,Athletics,ATH,MONACO,,,../../../en/results/athletics/athlete-profile-n1413273-afriat-charlotte.htm
AGADA Caleb,AGADA C,Male,00:00.0,"BURLINGTON, ON",Canada,Nigeria,NGR,Basketball,BKB,,,1.91/6'3'',../../../en/results/basketball/athlete-profile-n1399064-agada-caleb.htm
AGAHOZO Alphonsine,AGAHOZO A,Female,00:00.0,,Rwanda,Rwanda,RWA,Swimming,SWM,,,,../../../en/results/swimming/athlete-profile-n1429073-agahozo-alphonsine.htm
AGARD Terrence,AGARD T,Male,00:00.0,,,Netherlands,NED,Athletics,ATH,,,,../../../en/results/athletics/athlete-profile-n1476195-agard-terrence.htm
AGARIE Yuto,AGARIE Y,Male,00:00.0,URASOE,Japan,Japan,JPN,Handball,HBL,JAPAN,,,../../../en/results/handball/athlete-profile-n1315260-agarie-yuto.htm
AGATSUMA Haruka,AGATSUMA H,Female,00:00.0,,,Japan,JPN,Baseball/Softball,BSB,,,1.72/5'7'',../../../en/results/baseball-softball/athlete-profile-n1313716-agatsuma-haruka.htm
AGBEGNENOU Clarisse,AGBEGNENOU C,Female,00:00.0,RENNES,France,France,FRA,Judo,JUD,,,,../../../en/results/judo/athlete-profile-n1403697-agbegnenou-clarisse.htm
