athlete_name,short_name,athlete_gender,athlete_birth_date,athlete_birth_place,athlete_birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
AALERUD Katrine,AALERUD K,Female,00:00.0,VESTBY,Norway,Norway,NOR,Cycling Road,CRD,,,,../../../en/results/cycling-road/athlete-profile-n1346266-aalerud-katrine.htm
ABAD Nestor,ABAD N,Male,00:00.0,ALCOI,Spain,Spain,ESP,Artistic Gymnastics,GAR,MADRID,Spain,1.65/5'4'',../../../en/results/artistic-gymnastics/athlete-profile-n1355250-abad-nestor.htm
ABAGNALE Giovanni,ABAGNALE G,Male,00:00.0,GRAGNANO,Italy,Italy,ITA,Rowing,ROW,SABAUDIA,Italy,1.98/6'5'',../../../en/results/rowing/athlete-profile-n1321381-abagnale-giovanni.htm
ABALDE Alberto,ABALDE A,Male,00:00.0,FERROL,Spain,Spain,ESP,Basketball,BKB,,,2.00/6'6'',../../../en/results/basketball/athlete-profile-n1322233-abalde-alberto.htm
ABALDE Tamara,ABALDE T,Female,00:00.0,VIGO,Spain,Spain,ESP,Basketball,BKB,,,1.92/6'3'',../../../en/results/basketball/athlete-profile-n1322271-abalde-tamara.htm
ABALO Luc,ABALO L,Male,00:00.0,IVRY-SUR-SEINE,France,France,FRA,Handball,HBL,,,1.83/6'0'',../../../en/results/handball/athlete-profile-n1350409-abalo-luc.htm
ABAROA Cesar,ABAROA C,Male,00:00.0,CONCEPCION,Chile,Chile,CHI,Rowing,ROW,VALPARAISO,Chile,1.79/5'10'',../../../en/results/rowing/athlete-profile-n1309960-abaroa-cesar.htm
ABASS Abobakr,ABASS A,Male,00:00.0,,,Sudan,SUD,Swimming,SWM,,,,../../../en/results/swimming/athlete-profile-n1344792-abass-abobakr.htm
ABBAGNALE Vincenzo,ABBAGNALE V,Male,00:00.0,,,Italy,ITA,Rowing,ROW,,,1.87/6'1'',../../../en/results/rowing/athlete-profile-n1331787-abbagnale-vincenzo.htm
ABBASALI Hamideh,ABBASALI H,Female,00:00.0,RAY,Islamic Republic of Iran,Islamic Republic of Iran,IRI,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1284763-abbasali-hamideh.htm
ABBASOV Islam,ABBASOV I,Male,00:00.0,,Azerbaijan,Azerbaijan,AZE,Wrestling,WRE,,,,../../../en/results/wrestling/athlete-profile-n1433032-abbasov-islam.htm
ABBINGH Lois,ABBINGH L,Female,00:00.0,GRONINGEN,Netherlands,Netherlands,NED,Handball,HBL,ROSTOV-NA-DONU,Russian Federation,1.77/5'9'',../../../en/results/handball/athlete-profile-n1456949-abbingh-lois.htm
ABBOT Emily,ABBOT E,Female,00:00.0,"ADELAIDE, SA",Australia,Australia,AUS,Rhythmic Gymnastics,GRY,"BRISBANE, QLD",Australia,1.60/5'2'',../../../en/results/rhythmic-gymnastics/athlete-profile-n1349883-abbot-emily.htm
ABBOTT Monica,ABBOTT M,Female,00:00.0,"SANTA CRUZ, CA",United States of America,United States of America,USA,Baseball/Softball,BSB,"SALINAS, CA",United States of America,1.91/6'3'',../../../en/results/baseball-softball/athlete-profile-n1310126-abbott-monica.htm
ABDALLA Abubaker Haydar,ABDALLA AH,Male,00:00.0,KHARTUM,Sudan,Qatar,QAT,Athletics,ATH,,,,../../../en/results/athletics/athlete-profile-n1328854-abdalla-abubaker-haydar.htm
ABDALRASOOL Mohamed,ABDALRASOOL M,Male,00:00.0,,,Sudan,SUD,Judo,JUD,,,,../../../en/results/judo/athlete-profile-n1898618-abdalrasool-mohamed.htm
ABDEL LATIF Radwa,ABDEL LATIF R,Female,00:00.0,,,Egypt,EGY,Shooting,SHO,,,,../../../en/results/shooting/athlete-profile-n1306332-abdel-latif-radwa.htm
ABDEL RAZEK Samy,ABDEL RAZEK S,Male,00:00.0,,Egypt,Egypt,EGY,Shooting,SHO,,,,../../../en/results/shooting/athlete-profile-n1306339-abdel-razek-samy.htm
ABDELAAL Mohamed,ABDELAAL M,Male,00:00.0,,,Egypt,EGY,Judo,JUD,,,,../../../en/results/judo/athlete-profile-n1301765-abdelaal-mohamed.htm
ABDELAZIZ Abdalla,ABDELAZIZ A,Male,00:00.0,,,Egypt,EGY,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1306315-abdelaziz-abdalla.htm
