medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,country_code,event,country,sport
Gold,1,,DELL'AQUILA V,DELL'AQUILA Vito,M,../../../en/results/taekwondo/athlete-profile-n1334908-dell-aquila-vito.htm,ITA,Men -58kg,Italy,Taekwondo
Silver,2,,JENDOUBI MK,JENDOUBI Mohamed Khalil,M,../../../en/results/taekwondo/athlete-profile-n1376016-jendoubi-mohamed-khalil.htm,TUN,Men -58kg,Tunisia,Taekwondo
Bronze,3,,ARTAMONOV M,ARTAMONOV Mikhail,M,../../../en/results/taekwondo/athlete-profile-n1428978-artamonov-mikhail.htm,ROC,Men -58kg,ROC,Taekwondo
Bronze,3,,JANG J,JANG Jun,M,../../../en/results/taekwondo/athlete-profile-n1330601-jang-jun.htm,KOR,Men -58kg,Republic of Korea,Taekwondo
Gold,1,,WONGPATTANAKIT P,WONGPATTANAKIT Panipak,W,../../../en/results/taekwondo/athlete-profile-n1467323-wongpattanakit-panipak.htm,THA,Women -49kg,Thailand,Taekwondo
Silver,2,,CEREZO IGLESIAS A,CEREZO IGLESIAS Adriana,W,../../../en/results/taekwondo/athlete-profile-n1351813-cerezo-iglesias-adriana.htm,ESP,Women -49kg,Spain,Taekwondo
Bronze,3,,BOGDANOVIC T,BOGDANOVIC Tijana,W,../../../en/results/taekwondo/athlete-profile-n1344571-bogdanovic-tijana.htm,SRB,Women -49kg,Serbia,Taekwondo
Bronze,3,,SEMBERG A,SEMBERG Abishag,W,../../../en/results/taekwondo/athlete-profile-n1330457-semberg-abishag.htm,ISR,Women -49kg,Israel,Taekwondo
Gold,1,,HOU Z,HOU Zhihui,W,../../../en/results/weightlifting/athlete-profile-n1342271-hou-zhihui.htm,CHN,Women's 49kg,People's Republic of China,Weightlifting
Silver,2,,MIRABAI CS,MIRABAI Chanu Saikhom,W,../../../en/results/weightlifting/athlete-profile-n1303836-mirabai-chanu-saikhom.htm,IND,Women's 49kg,India,Weightlifting
Bronze,3,,AISAH WC,AISAH Windy Cantika,W,../../../en/results/weightlifting/athlete-profile-n1320668-aisah-windy-cantika.htm,INA,Women's 49kg,Indonesia,Weightlifting
Gold,1,,KANG C,KANG Chaeyoung,W,../../../en/results/archery/athlete-profile-n1338245-kang-chaeyoung.htm,KOR,Women's Team,Republic of Korea,Archery
Gold,1,,AN S,AN San,W,../../../en/results/archery/athlete-profile-n1338248-an-san.htm,KOR,Women's Team,Republic of Korea,Archery
Gold,1,,JANG M,JANG Minhee,W,../../../en/results/archery/athlete-profile-n1338252-jang-minhee.htm,KOR,Women's Team,Republic of Korea,Archery
Silver,2,,OSIPOVA E,OSIPOVA Elena,W,../../../en/results/archery/athlete-profile-n1431749-osipova-elena.htm,ROC,Women's Team,ROC,Archery
Silver,2,,PEROVA K,PEROVA Ksenia,W,../../../en/results/archery/athlete-profile-n1431750-perova-ksenia.htm,ROC,Women's Team,ROC,Archery
Silver,2,,GOMBOEVA S,GOMBOEVA Svetlana,W,../../../en/results/archery/athlete-profile-n1431746-gomboeva-svetlana.htm,ROC,Women's Team,ROC,Archery
Bronze,3,,SCHWARZ C,SCHWARZ Charline,W,../../../en/results/archery/athlete-profile-n1395737-schwarz-charline.htm,GER,Women's Team,Germany,Archery
Bronze,3,,UNRUH L,UNRUH Lisa,W,../../../en/results/archery/athlete-profile-n1334159-unruh-lisa.htm,GER,Women's Team,Germany,Archery
Bronze,3,,KROPPEN M,KROPPEN Michelle,W,../../../en/results/archery/athlete-profile-n1334170-kroppen-michelle.htm,GER,Women's Team,Germany,Archery
Gold,1,,KIESENHOFER A,KIESENHOFER Anna,W,../../../en/results/cycling-road/athlete-profile-n1334466-kiesenhofer-anna.htm,AUT,Women's Road Race,Austria,Cycling Road
Silver,2,,van VLEUTEN A,van VLEUTEN Annemiek,W,../../../en/results/cycling-road/athlete-profile-n1467954-van-vleuten-annemiek.htm,NED,Women's Road Race,Netherlands,Cycling Road
Bronze,3,,LONGO BORGHINI E,LONGO BORGHINI Elisa,W,../../../en/results/cycling-road/athlete-profile-n1404048-longo-borghini-elisa.htm,ITA,Women's Road Race,Italy,Cycling Road
Gold,1,,WANG H,WANG Han,W,../../../en/results/diving/athlete-profile-n1329498-wang-han.htm,CHN,Women's Synchronised 3m Springboard,People's Republic of China,Diving
Gold,1,,SHI T,SHI Tingmao,W,../../../en/results/diving/athlete-profile-n1329428-shi-tingmao.htm,CHN,Women's Synchronised 3m Springboard,People's Republic of China,Diving
Silver,2,,ABEL J,ABEL Jennifer,W,../../../en/results/diving/athlete-profile-n1469699-abel-jennifer.htm,CAN,Women's Synchronised 3m Springboard,Canada,Diving
Silver,2,,CITRINI BEAULIEU M,CITRINI BEAULIEU Melissa,W,../../../en/results/diving/athlete-profile-n1469703-citrini-beaulieu-melissa.htm,CAN,Women's Synchronised 3m Springboard,Canada,Diving
Bronze,3,,HENTSCHEL L,HENTSCHEL Lena,W,../../../en/results/diving/athlete-profile-n1350631-hentschel-lena.htm,GER,Women's Synchronised 3m Springboard,Germany,Diving
Bronze,3,,PUNZEL T,PUNZEL Tina,W,../../../en/results/diving/athlete-profile-n1350640-punzel-tina.htm,GER,Women's Synchronised 3m Springboard,Germany,Diving
Gold,1,,CANNONE R,CANNONE Romain,M,../../../en/results/fencing/athlete-profile-n1351036-cannone-romain.htm,FRA,Men's &Eacute;p&eacute;e Individual,France,Fencing
Silver,2,,SIKLOSI G,SIKLOSI Gergely,M,../../../en/results/fencing/athlete-profile-n1343525-siklosi-gergely.htm,HUN,Men's &Eacute;p&eacute;e Individual,Hungary,Fencing
Bronze,3,,REIZLIN I,REIZLIN Igor,M,../../../en/results/fencing/athlete-profile-n1483691-reizlin-igor.htm,UKR,Men's &Eacute;p&eacute;e Individual,Ukraine,Fencing
Gold,1,,KIEFER L,KIEFER Lee,W,../../../en/results/fencing/athlete-profile-n1310067-kiefer-lee.htm,USA,Women's Foil Individual,United States of America,Fencing
Silver,2,,DERIGLAZOVA I,DERIGLAZOVA Inna,W,../../../en/results/fencing/athlete-profile-n1428168-deriglazova-inna.htm,ROC,Women's Foil Individual,ROC,Fencing
Bronze,3,,KOROBEYNIKOVA L,KOROBEYNIKOVA Larisa,W,../../../en/results/fencing/athlete-profile-n1428173-korobeynikova-larisa.htm,ROC,Women's Foil Individual,ROC,Fencing
Gold,1,,ABE H,ABE Hifumi,M,../../../en/results/judo/athlete-profile-n1315347-abe-hifumi.htm,JPN,Men -66 kg,Japan,Judo
Silver,2,,MARGVELASHVILI V,MARGVELASHVILI Vazha,M,../../../en/results/judo/athlete-profile-n1285222-margvelashvili-vazha.htm,GEO,Men -66 kg,Georgia,Judo
Bronze,3,,AN B,AN Baul,M,../../../en/results/judo/athlete-profile-n1323211-an-baul.htm,KOR,Men -66 kg,Republic of Korea,Judo
Bronze,3,,CARGNIN D,CARGNIN Daniel,M,../../../en/results/judo/athlete-profile-n1338108-cargnin-daniel.htm,BRA,Men -66 kg,Brazil,Judo
Gold,1,,ABE U,ABE Uta,W,../../../en/results/judo/athlete-profile-n1315319-abe-uta.htm,JPN,Women -52 kg,Japan,Judo
Silver,2,,BUCHARD A,BUCHARD Amandine,W,../../../en/results/judo/athlete-profile-n1403693-buchard-amandine.htm,FRA,Women -52 kg,France,Judo
Bronze,3,,GILES C,GILES Chelsie,W,../../../en/results/judo/athlete-profile-n1440150-giles-chelsie.htm,GBR,Women -52 kg,Great Britain,Judo
Bronze,3,,GIUFFRIDA O,GIUFFRIDA Odette,W,../../../en/results/judo/athlete-profile-n1351014-giuffrida-odette.htm,ITA,Women -52 kg,Italy,Judo
Gold,1,,BATSARASHKINA V,BATSARASHKINA Vitalina,W,../../../en/results/shooting/athlete-profile-n1428779-batsarashkina-vitalina.htm,ROC,10m Air Pistol Women,ROC,Shooting
Silver,2,,KOSTADINOVA A,KOSTADINOVA Antoaneta,W,../../../en/results/shooting/athlete-profile-n1328491-kostadinova-antoaneta.htm,BUL,10m Air Pistol Women,Bulgaria,Shooting
Bronze,3,,JIANG R,JIANG Ranxin,W,../../../en/results/shooting/athlete-profile-n1302200-jiang-ranxin.htm,CHN,10m Air Pistol Women,People's Republic of China,Shooting
Gold,1,,SHANER W,SHANER William,M,../../../en/results/shooting/athlete-profile-n1335416-shaner-william.htm,USA,10m Air Rifle Men,United States of America,Shooting
Silver,2,,SHENG L,SHENG Lihao,M,../../../en/results/shooting/athlete-profile-n1405181-sheng-lihao.htm,CHN,10m Air Rifle Men,People's Republic of China,Shooting
Bronze,3,,YANG H,YANG Haoran,M,../../../en/results/shooting/athlete-profile-n1302169-yang-haoran.htm,CHN,10m Air Rifle Men,People's Republic of China,Shooting
Gold,1,,HORIGOME Y,HORIGOME Yuto,M,../../../en/results/skateboarding/athlete-profile-n1315701-horigome-yuto.htm,JPN,Men's Street,Japan,Skateboarding
Silver,2,,HOEFLER K,HOEFLER Kelvin,M,../../../en/results/skateboarding/athlete-profile-n1351775-hoefler-kelvin.htm,BRA,Men's Street,Brazil,Skateboarding
Bronze,3,,EATON J,EATON Jagger,M,../../../en/results/skateboarding/athlete-profile-n1342562-eaton-jagger.htm,USA,Men's Street,United States of America,Skateboarding
Gold,1,,HAFNAOUI A,HAFNAOUI Ahmed,M,../../../en/results/swimming/athlete-profile-n1404312-hafnaoui-ahmed.htm,TUN,Men's 400m Freestyle,Tunisia,Swimming
Silver,2,,McLOUGHLIN J.,McLOUGHLIN Jack,M,../../../en/results/swimming/athlete-profile-n1482871-mcloughlin-jack.htm,AUS,Men's 400m Freestyle,,Swimming
Bronze,3,,SMITH K,SMITH Kieran,M,../../../en/results/swimming/athlete-profile-n1302304-smith-kieran.htm,USA,Men's 400m Freestyle,United States of America,Swimming
Gold,1,,KALISZ C,KALISZ Chase,M,../../../en/results/swimming/athlete-profile-n1302246-kalisz-chase.htm,USA,Men's 400m Individual Medley,United States of America,Swimming
Silver,2,,LITHERLAND J,LITHERLAND Jay,M,../../../en/results/swimming/athlete-profile-n1302288-litherland-jay.htm,USA,Men's 400m Individual Medley,United States of America,Swimming
Bronze,3,,SMITH B,SMITH Brendon,M,../../../en/results/swimming/athlete-profile-n1482899-smith-brendon.htm,AUS,Men's 400m Individual Medley,,Swimming
Gold,1,,CAMPBELL C,CAMPBELL Cate,W,../../../en/results/swimming/athlete-profile-n1482861-campbell-cate.htm,AUS,Women's 4 x 100m Freestyle Relay,,Swimming
Gold,1,,CAMPBELL B,CAMPBELL Bronte,W,../../../en/results/swimming/athlete-profile-n1482860-campbell-bronte.htm,AUS,Women's 4 x 100m Freestyle Relay,,Swimming
Gold,1,,McKEON E,McKEON Emma,W,../../../en/results/swimming/athlete-profile-n1482869-mckeon-emma.htm,AUS,Women's 4 x 100m Freestyle Relay,,Swimming
Gold,1,,WILSON M,WILSON Madison,W,../../../en/results/swimming/athlete-profile-n1482879-wilson-madison.htm,AUS,Women's 4 x 100m Freestyle Relay,,Swimming
Gold,1,,O'CALLAGHAN M,O'CALLAGHAN Mollie,W,../../../en/results/swimming/athlete-profile-n1482917-o-callaghan-mollie.htm,AUS,Women's 4 x 100m Freestyle Relay,,Swimming
Gold,1,,HARRIS M,HARRIS Meg,W,../../../en/results/swimming/athlete-profile-n1482907-harris-meg.htm,AUS,Women's 4 x 100m Freestyle Relay,,Swimming
Silver,2,,OLEKSIAK P,OLEKSIAK Penny,W,../../../en/results/swimming/athlete-profile-n1459677-oleksiak-penny.htm,CAN,Women's 4 x 100m Freestyle Relay,Canada,Swimming
Silver,2,,SMITH R,SMITH Rebecca,W,../../../en/results/swimming/athlete-profile-n1459679-smith-rebecca.htm,CAN,Women's 4 x 100m Freestyle Relay,Canada,Swimming
Silver,2,,SANCHEZ K,SANCHEZ Kayla,W,../../../en/results/swimming/athlete-profile-n1459675-sanchez-kayla.htm,CAN,Women's 4 x 100m Freestyle Relay,Canada,Swimming
Silver,2,,MACNEIL M,MACNEIL Margaret,W,../../../en/results/swimming/athlete-profile-n1459652-macneil-margaret.htm,CAN,Women's 4 x 100m Freestyle Relay,Canada,Swimming
Silver,2,,RUCK T,RUCK Taylor,W,../../../en/results/swimming/athlete-profile-n1459651-ruck-taylor.htm,CAN,Women's 4 x 100m Freestyle Relay,Canada,Swimming
Bronze,3,,BROWN E,BROWN Erika,W,../../../en/results/swimming/athlete-profile-n1302262-brown-erika.htm,USA,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Bronze,3,,WEITZEIL A,WEITZEIL Abbey,W,../../../en/results/swimming/athlete-profile-n1302233-weitzeil-abbey.htm,USA,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Bronze,3,,de LOOF C,de LOOF Catie,W,../../../en/results/swimming/athlete-profile-n1302243-de-loof-catie.htm,USA,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Bronze,3,,SCHMITT A,SCHMITT Allison,W,../../../en/results/swimming/athlete-profile-n1302228-schmitt-allison.htm,USA,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Bronze,3,,HINDS N,HINDS Natalie,W,../../../en/results/swimming/athlete-profile-n1302332-hinds-natalie.htm,USA,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Bronze,3,,SMOLIGA O,SMOLIGA Olivia,W,../../../en/results/swimming/athlete-profile-n1302335-smoliga-olivia.htm,USA,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Bronze,3,,MANUEL S,MANUEL Simone,W,../../../en/results/swimming/athlete-profile-n1302452-manuel-simone.htm,USA,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Gold,1,,OHASHI Y,OHASHI Yui,W,../../../en/results/swimming/athlete-profile-n1315967-ohashi-yui.htm,JPN,Women's 400m Individual Medley,Japan,Swimming
Silver,2,,WEYANT E,WEYANT Emma,W,../../../en/results/swimming/athlete-profile-n1302268-weyant-emma.htm,USA,Women's 400m Individual Medley,United States of America,Swimming
Bronze,3,,FLICKINGER H,FLICKINGER Hali,W,../../../en/results/swimming/athlete-profile-n1302275-flickinger-hali.htm,USA,Women's 400m Individual Medley,United States of America,Swimming
Gold,1,,RASHITOV U,RASHITOV Ulugbek,M,../../../en/results/taekwondo/athlete-profile-n1310979-rashitov-ulugbek.htm,UZB,Men -68kg,Uzbekistan,Taekwondo
Silver,2,,SINDEN B,SINDEN Bradly,M,../../../en/results/taekwondo/athlete-profile-n1440125-sinden-bradly.htm,GBR,Men -68kg,Great Britain,Taekwondo
Bronze,3,,RECBER H,RECBER Hakan,M,../../../en/results/taekwondo/athlete-profile-n1327653-recber-hakan.htm,TUR,Men -68kg,Turkey,Taekwondo
Bronze,3,,ZHAO S,ZHAO Shuai,M,../../../en/results/taekwondo/athlete-profile-n1307140-zhao-shuai.htm,CHN,Men -68kg,People's Republic of China,Taekwondo
Gold,1,,ZOLOTIC A,ZOLOTIC Anastasija,W,../../../en/results/taekwondo/athlete-profile-n1317805-zolotic-anastasija.htm,USA,Women -57kg,United States of America,Taekwondo
Silver,2,,MININA T,MININA Tatiana,W,../../../en/results/taekwondo/athlete-profile-n1428989-minina-tatiana.htm,ROC,Women -57kg,ROC,Taekwondo
Bronze,3,,LO CL,LO Chia-Ling,W,../../../en/results/taekwondo/athlete-profile-n1324323-lo-chia-ling.htm,TPE,Women -57kg,Chinese Taipei,Taekwondo
Bronze,3,,ILGUN HK,ILGUN Hatice Kubra,W,../../../en/results/taekwondo/athlete-profile-n1327499-ilgun-hatice-kubra.htm,TUR,Women -57kg,Turkey,Taekwondo
Gold,1,,LI F,LI Fabin,M,../../../en/results/weightlifting/athlete-profile-n1342295-li-fabin.htm,CHN,Men's 61kg,People's Republic of China,Weightlifting
Silver,2,,IRAWAN EY,IRAWAN Eko Yuli,M,../../../en/results/weightlifting/athlete-profile-n1321357-irawan-eko-yuli.htm,INA,Men's 61kg,Indonesia,Weightlifting
Bronze,3,,SON I,SON Igor,M,../../../en/results/weightlifting/athlete-profile-n1307237-son-igor.htm,KAZ,Men's 61kg,Kazakhstan,Weightlifting
Gold,1,,CHEN L,CHEN Lijun,M,../../../en/results/weightlifting/athlete-profile-n1309407-chen-lijun.htm,CHN,Men's 67kg,People's Republic of China,Weightlifting
Silver,2,,MOSQUERA LOZANO LJ,MOSQUERA LOZANO Luis Javier,M,../../../en/results/weightlifting/athlete-profile-n1380756-mosquera-lozano-luis-javier.htm,COL,Men's 67kg,Colombia,Weightlifting
Bronze,3,,ZANNI M,ZANNI Mirko,M,../../../en/results/weightlifting/athlete-profile-n1351143-zanni-mirko.htm,ITA,Men's 67kg,Italy,Weightlifting
Gold,1,,KIM JD,KIM Je Deok,M,../../../en/results/archery/athlete-profile-n1440267-kim-je-deok.htm,KOR,Men's Team,Republic of Korea,Archery
Gold,1,,OH J,OH Jinhyek,M,../../../en/results/archery/athlete-profile-n1338266-oh-jinhyek.htm,KOR,Men's Team,Republic of Korea,Archery
Gold,1,,KIM W,KIM Woojin,M,../../../en/results/archery/athlete-profile-n1338267-kim-woojin.htm,KOR,Men's Team,Republic of Korea,Archery
Silver,2,,TANG CC,TANG Chih-Chun,M,../../../en/results/archery/athlete-profile-n1323940-tang-chih-chun.htm,TPE,Men's Team,Chinese Taipei,Archery
Silver,2,,WEI CH,WEI Chun-Heng,M,../../../en/results/archery/athlete-profile-n1324035-wei-chun-heng.htm,TPE,Men's Team,Chinese Taipei,Archery
Silver,2,,DENG YC,DENG Yu-Cheng,M,../../../en/results/archery/athlete-profile-n1324047-deng-yu-cheng.htm,TPE,Men's Team,Chinese Taipei,Archery
Bronze,3,,FURUKAWA T,FURUKAWA Takaharu,M,../../../en/results/archery/athlete-profile-n1313434-furukawa-takaharu.htm,JPN,Men's Team,Japan,Archery
Bronze,3,,KAWATA Y,KAWATA Yuki,M,../../../en/results/archery/athlete-profile-n1313435-kawata-yuki.htm,JPN,Men's Team,Japan,Archery
Bronze,3,,MUTO H,MUTO Hiroki,M,../../../en/results/archery/athlete-profile-n1313432-muto-hiroki.htm,JPN,Men's Team,Japan,Archery
Gold,1,,ABLIAZIN D,ABLIAZIN Denis,M,../../../en/results/artistic-gymnastics/athlete-profile-n1406250-abliazin-denis.htm,ROC,Men's Team,ROC,Artistic Gymnastics
Gold,1,,BELYAVSKIY D,BELYAVSKIY David,M,../../../en/results/artistic-gymnastics/athlete-profile-n1406251-belyavskiy-david.htm,ROC,Men's Team,ROC,Artistic Gymnastics
Gold,1,,DALALOYAN A,DALALOYAN Artur,M,../../../en/results/artistic-gymnastics/athlete-profile-n1406253-dalaloyan-artur.htm,ROC,Men's Team,ROC,Artistic Gymnastics
Gold,1,,NAGORNYY N,NAGORNYY Nikita,M,../../../en/results/artistic-gymnastics/athlete-profile-n1406257-nagornyy-nikita.htm,ROC,Men's Team,ROC,Artistic Gymnastics
Silver,2,,KAYA K,KAYA Kazuma,M,../../../en/results/artistic-gymnastics/athlete-profile-n1318235-kaya-kazuma.htm,JPN,Men's Team,Japan,Artistic Gymnastics
Silver,2,,TANIGAWA W,TANIGAWA Wataru,M,../../../en/results/artistic-gymnastics/athlete-profile-n1318236-tanigawa-wataru.htm,JPN,Men's Team,Japan,Artistic Gymnastics
Silver,2,,KITAZONO T,KITAZONO Takeru,M,../../../en/results/artistic-gymnastics/athlete-profile-n1318259-kitazono-takeru.htm,JPN,Men's Team,Japan,Artistic Gymnastics
Silver,2,,HASHIMOTO D,HASHIMOTO Daiki,M,../../../en/results/artistic-gymnastics/athlete-profile-n1318265-hashimoto-daiki.htm,JPN,Men's Team,Japan,Artistic Gymnastics
Bronze,3,,LIN C,LIN Chaopan,M,../../../en/results/artistic-gymnastics/athlete-profile-n1323022-lin-chaopan.htm,CHN,Men's Team,People's Republic of China,Artistic Gymnastics
Bronze,3,,SUN W,SUN Wei,M,../../../en/results/artistic-gymnastics/athlete-profile-n1323036-sun-wei.htm,CHN,Men's Team,People's Republic of China,Artistic Gymnastics
Bronze,3,,XIAO R,XIAO Ruoteng,M,../../../en/results/artistic-gymnastics/athlete-profile-n1318476-xiao-ruoteng.htm,CHN,Men's Team,People's Republic of China,Artistic Gymnastics
Bronze,3,,ZOU J,ZOU Jingyuan,M,../../../en/results/artistic-gymnastics/athlete-profile-n1323057-zou-jingyuan.htm,CHN,Men's Team,People's Republic of China,Artistic Gymnastics
Gold,1,,SAVSEK B,SAVSEK Benjamin,M,../../../en/results/canoe-slalom/athlete-profile-n1429559-savsek-benjamin.htm,SLO,Men's Canoe,Slovenia,Canoe Slalom
Silver,2,,ROHAN L,ROHAN Lukas,M,../../../en/results/canoe-slalom/athlete-profile-n1402108-rohan-lukas.htm,CZE,Men's Canoe,Czech Republic,Canoe Slalom
Bronze,3,,TASIADIS S,TASIADIS Sideris,M,../../../en/results/canoe-slalom/athlete-profile-n1333389-tasiadis-sideris.htm,GER,Men's Canoe,Germany,Canoe Slalom
Gold,1,,PIDCOCK T,PIDCOCK Thomas,M,../../../en/results/cycling-mountain-bike/athlete-profile-n1474966-pidcock-thomas.htm,GBR,Men's Cross-country,Great Britain,Cycling Mountain Bike
Silver,2,,FLUECKIGER M,FLUECKIGER Mathias,M,../../../en/results/cycling-mountain-bike/athlete-profile-n1465731-flueckiger-mathias.htm,SUI,Men's Cross-country,Switzerland,Cycling Mountain Bike
Bronze,3,,VALERO SERRANO D,VALERO SERRANO David,M,../../../en/results/cycling-mountain-bike/athlete-profile-n1341906-valero-serrano-david.htm,ESP,Men's Cross-country,Spain,Cycling Mountain Bike
Gold,1,,DALEY T,DALEY Thomas,M,../../../en/results/diving/athlete-profile-n1444126-daley-thomas.htm,GBR,Men's Synchronised 10m Platform,Great Britain,Diving
Gold,1,,LEE M,LEE Matty,M,../../../en/results/diving/athlete-profile-n1444130-lee-matty.htm,GBR,Men's Synchronised 10m Platform,Great Britain,Diving
Silver,2,,CAO Y,CAO Yuan,M,../../../en/results/diving/athlete-profile-n1329531-cao-yuan.htm,CHN,Men's Synchronised 10m Platform,People's Republic of China,Diving
Silver,2,,CHEN A,CHEN Aisen,M,../../../en/results/diving/athlete-profile-n1329918-chen-aisen.htm,CHN,Men's Synchronised 10m Platform,People's Republic of China,Diving
Bronze,3,,BONDAR A,BONDAR Aleksandr,M,../../../en/results/diving/athlete-profile-n1406332-bondar-aleksandr.htm,ROC,Men's Synchronised 10m Platform,ROC,Diving
Bronze,3,,MINIBAEV V,MINIBAEV Viktor,M,../../../en/results/diving/athlete-profile-n1406344-minibaev-viktor.htm,ROC,Men's Synchronised 10m Platform,ROC,Diving
Gold,1,,CHEUNG KL,CHEUNG Ka Long,M,../../../en/results/fencing/athlete-profile-n1431181-cheung-ka-long.htm,HKG,Men's Foil Individual,"Hong Kong, China",Fencing
