medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,country_code,event,country,sport
Gold,1,,KIM JD,KIM Je Deok,X,../../../en/results/archery/athlete-profile-n1440267-kim-je-deok.htm,KOR,Mixed Team,Republic of Korea,Archery
Gold,1,,AN S,AN San,X,../../../en/results/archery/athlete-profile-n1338248-an-san.htm,KOR,Mixed Team,Republic of Korea,Archery
Silver,2,,SCHLOESSER G,SCHLOESSER Gabriela,X,../../../en/results/archery/athlete-profile-n1458456-schloesser-gabriela.htm,NED,Mixed Team,Netherlands,Archery
Silver,2,,WIJLER S,WIJLER Steve,X,../../../en/results/archery/athlete-profile-n1458465-wijler-steve.htm,NED,Mixed Team,Netherlands,Archery
Bronze,3,,ALVAREZ L,ALVAREZ Luis,X,../../../en/results/archery/athlete-profile-n1294470-alvarez-luis.htm,MEX,Mixed Team,Mexico,Archery
Bronze,3,,VALENCIA A,VALENCIA Alejandra,X,../../../en/results/archery/athlete-profile-n1294484-valencia-alejandra.htm,MEX,Mixed Team,Mexico,Archery
Gold,1,,CARAPAZ R,CARAPAZ Richard,M,../../../en/results/cycling-road/athlete-profile-n1473746-carapaz-richard.htm,ECU,Men's Road Race,Ecuador,Cycling Road
Silver,2,,van AERT W,van AERT Wout,M,../../../en/results/cycling-road/athlete-profile-n1393553-van-aert-wout.htm,BEL,Men's Road Race,Belgium,Cycling Road
Bronze,3,,POGACAR T,POGACAR Tadej,M,../../../en/results/cycling-road/athlete-profile-n1429471-pogacar-tadej.htm,SLO,Men's Road Race,Slovenia,Cycling Road
Gold,1,,SZILAGYI A,SZILAGYI Aron,M,../../../en/results/fencing/athlete-profile-n1343521-szilagyi-aron.htm,HUN,Men's Sabre Individual,Hungary,Fencing
Silver,2,,SAMELE L,SAMELE Luigi,M,../../../en/results/fencing/athlete-profile-n1312472-samele-luigi.htm,ITA,Men's Sabre Individual,Italy,Fencing
Bronze,3,,KIM J,KIM Junghwan,M,../../../en/results/fencing/athlete-profile-n1335688-kim-junghwan.htm,KOR,Men's Sabre Individual,Republic of Korea,Fencing
Gold,1,,SUN Y,SUN Yiwen,W,../../../en/results/fencing/athlete-profile-n1392791-sun-yiwen.htm,CHN,Women's &Eacute;p&eacute;e Individual,People's Republic of China,Fencing
Silver,2,,POPESCU AM,POPESCU Ana Maria,W,../../../en/results/fencing/athlete-profile-n1290683-popescu-ana-maria.htm,ROU,Women's &Eacute;p&eacute;e Individual,Romania,Fencing
Bronze,3,,LEHIS K,LEHIS Katrina,W,../../../en/results/fencing/athlete-profile-n1374081-lehis-katrina.htm,EST,Women's &Eacute;p&eacute;e Individual,Estonia,Fencing
Gold,1,,TAKATO N,TAKATO Naohisa,M,../../../en/results/judo/athlete-profile-n1315348-takato-naohisa.htm,JPN,Men -60 kg,Japan,Judo
Silver,2,,YANG YW,YANG Yung Wei,M,../../../en/results/judo/athlete-profile-n1431837-yang-yung-wei.htm,TPE,Men -60 kg,Chinese Taipei,Judo
Bronze,3,,MKHEIDZE L,MKHEIDZE Luka,M,../../../en/results/judo/athlete-profile-n1403680-mkheidze-luka.htm,FRA,Men -60 kg,France,Judo
Bronze,3,,SMETOV Y,SMETOV Yeldos,M,../../../en/results/judo/athlete-profile-n1305206-smetov-yeldos.htm,KAZ,Men -60 kg,Kazakhstan,Judo
Gold,1,,KRASNIQI D,KRASNIQI Distria,W,../../../en/results/judo/athlete-profile-n1330020-krasniqi-distria.htm,KOS,Women -48 kg,Kosovo,Judo
Silver,2,,TONAKI F,TONAKI Funa,W,../../../en/results/judo/athlete-profile-n1315316-tonaki-funa.htm,JPN,Women -48 kg,Japan,Judo
Bronze,3,,BILODID D,BILODID Daria,W,../../../en/results/judo/athlete-profile-n1317083-bilodid-daria.htm,UKR,Women -48 kg,Ukraine,Judo
Bronze,3,,MUNKHBAT U,MUNKHBAT Urantsetseg,W,../../../en/results/judo/athlete-profile-n1326832-munkhbat-urantsetseg.htm,MGL,Women -48 kg,Mongolia,Judo
Gold,1,,FOROUGHI J,FOROUGHI Javad,M,../../../en/results/shooting/athlete-profile-n1283897-foroughi-javad.htm,IRI,10m Air Pistol Men,Islamic Republic of Iran,Shooting
Silver,2,,MIKEC D,MIKEC Damir,M,../../../en/results/shooting/athlete-profile-n1344914-mikec-damir.htm,SRB,10m Air Pistol Men,Serbia,Shooting
Bronze,3,,PANG W,PANG Wei,M,../../../en/results/shooting/athlete-profile-n1302190-pang-wei.htm,CHN,10m Air Pistol Men,People's Republic of China,Shooting
Gold,1,,YANG Q,YANG Qian,W,../../../en/results/shooting/athlete-profile-n1302186-yang-qian.htm,CHN,10m Air Rifle Women,People's Republic of China,Shooting
Silver,2,,GALASHINA A,GALASHINA Anastasiia,W,../../../en/results/shooting/athlete-profile-n1428767-galashina-anastasiia.htm,ROC,10m Air Rifle Women,ROC,Shooting
Bronze,3,,CHRISTEN N,CHRISTEN Nina,W,../../../en/results/shooting/athlete-profile-n1465510-christen-nina.htm,SUI,10m Air Rifle Women,Switzerland,Shooting
