name,short_name,gender,birth_date,country,discipline,function,event,url
HAY Danny,HAY D,Male,1975-05-15,New Zealand,Football,Head Coach,Men,../../../en/results/football/athlete-profile-n1476098-hay-danny.htm
HENKEL Claas,HENKEL C,Male,1979-07-21,Germany,Hockey,Coach,Men,../../../en/results/hockey/athlete-profile-n1319578-henkel-claas.htm
HENNING Andre,HENNING A,Male,1983-12-03,Germany,Hockey,Coach,Men,../../../en/results/hockey/athlete-profile-n1433924-henning-andre.htm
HERGEIRSSON Thorir,HERGEIRSSON T,Male,1964-04-27,Iceland,Handball,Coach,Women,../../../en/results/handball/athlete-profile-n1343757-hergeirsson-thorir.htm
HERNANDEZ Anderson,HERNANDEZ A,Male,1982-10-30,Dominican Republic,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1469797-hernandez-anderson.htm
HERNANDEZ FRAILE Jose Ignacio,HERNANDEZ FRAILE J,Male,1969-08-12,Spain,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1322511-hernandez-fraile-jose-ignacio.htm
HERNANDEZ Sergio,HERNANDEZ S,Male,1963-11-01,Argentina,Basketball,Coach,Men,../../../en/results/basketball/athlete-profile-n1344532-hernandez-sergio.htm
HEYNEN Vital,HEYNEN V,Male,1969-06-12,Belgium,Volleyball,Head Coach,Men,../../../en/results/volleyball/athlete-profile-n1313929-heynen-vital.htm
HIROSE Norikazu,HIROSE N,Male,1974-12-30,Japan,Football,Head Coach,,../../../en/results/football/athlete-profile-n1329666-hirose-norikazu.htm
HOAG Glenn,HOAG G,Male,1958-12-06,Canada,Volleyball,Head Coach,Men,../../../en/results/volleyball/athlete-profile-n1433404-hoag-glenn.htm
HOLANEK Zoltan,HOLANEK Z,Male,1975-08-08,Hungary,Handball,Coach,,../../../en/results/handball/athlete-profile-n1309806-holanek-zoltan.htm
HOVASSE Thomas Wayne,HOVASSE TW,Male,1967-01-31,United States of America,Basketball,Coach,Women,../../../en/results/basketball/athlete-profile-n1313677-hovasse-thomas-wayne.htm
HUGHES Daniel,HUGHES D,Male,1993-07-16,United States of America,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1312709-hughes-daniel.htm
HUGHLEY JR Otis,HUGHLEY JR O,Male,1964-09-25,United States of America,Basketball,Coach,Women,../../../en/results/basketball/athlete-profile-n1401785-hughley-jr-otis.htm
IBATA Hirokazu,IBATA H,Male,1975-05-12,Japan,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1313746-ibata-hirokazu.htm
IMURA Masayo,IMURA M,Female,1950-08-16,Japan,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1315871-imura-masayo.htm
IMURA Masayo,IMURA M,Female,1950-08-16,Japan,Artistic Swimming,Coach,Team,../../../en/results/artistic-swimming/athlete-profile-n1315871-imura-masayo.htm
IWABUCHI Kensuke,IWABUCHI K,Male,1975-12-30,Japan,Rugby Sevens,Head Coach,Men,../../../en/results/rugby-sevens/athlete-profile-n1315530-iwabuchi-kensuke.htm
JACOBS Alex,JACOBS A,Male,1987-06-01,United States of America,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1309161-jacobs-alex.htm
JACOBSEN Nikolaj,JACOBSEN N,Male,1971-11-22,Denmark,Handball,Coach,Men,../../../en/results/handball/athlete-profile-n1367204-jacobsen-nikolaj.htm
JARDINE Andre,JARDINE A,Male,1979-09-08,Brazil,Football,Head Coach,Men,../../../en/results/football/athlete-profile-n1351421-jardine-andre.htm
JAUMA CAYUELA Esther,JAUMA CAYUELA E,Female,1970-05-07,Spain,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1467506-jauma-cayuela-esther.htm
JENNINGS Dee,JENNINGS D,Female,1971-03-04,Australia,Hockey,Coach,,../../../en/results/hockey/athlete-profile-n1483174-jennings-dee.htm
JEROME Essapa,JEROME E,Male,1965-09-22,Côte d'Ivoire,Football,Head Coach,,../../../en/results/football/athlete-profile-n1323715-jerome-essapa.htm
JIA Xiuquan,JIA X,Male,1963-03-23,People's Republic of China,Football,Head Coach,Women,../../../en/results/football/athlete-profile-n1332764-jia-xiuquan.htm
JIMENEZ NIETO Cecilia,JIMENEZ NIETO C,Female,1995-07-27,Spain,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1325845-jimenez-nieto-cecilia.htm
JIN Kabyong,JIN K,Male,1974-05-08,Republic of Korea,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1333158-jin-kabyong.htm
JOHNSON Vickie,JOHNSON V,Female,1972-04-15,United States of America,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1312744-johnson-vickie.htm
JONES Chris,JONES C,Male,1967-04-19,Canada,Baseball/Softball,Coach,Softball,../../../en/results/baseball-softball/athlete-profile-n1426205-jones-chris.htm
JONES Nathan,JONES N,Male,1977-01-20,Australia,Baseball/Softball,Coach,Softball,../../../en/results/baseball-softball/athlete-profile-n1484456-jones-nathan.htm
KAISER Pierre,KAISER P,Male,1988-06-16,Belgium,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1393339-kaiser-pierre.htm
KANEKO Makoto,KANEKO M,Male,1975-11-08,Japan,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1336505-kaneko-makoto.htm
KANG Jae Won,KANG JW,Male,1965-11-30,Republic of Korea,Handball,Coach,Women,../../../en/results/handball/athlete-profile-n1332489-kang-jae-won.htm
KANUNGO Bergin,KANUNGO B,Male,1962-09-09,Zambia,Football,Head Coach,,../../../en/results/football/athlete-profile-n1793714-kanungo-bergin.htm
KAWASE Asaki,KAWASE A,Female,1982-09-09,Japan,Football,Head Coach,,../../../en/results/football/athlete-profile-n1330710-kawase-asaki.htm
KAZAMA Takafumi,KAZAMA T,Male,1985-12-05,Japan,Football,Head Coach,,../../../en/results/football/athlete-profile-n1329581-kazama-takafumi.htm
KELLER Florian,KELLER F,Male,1981-10-03,Germany,Hockey,Coach,Women,../../../en/results/hockey/athlete-profile-n1319566-keller-florian.htm
KERRY Danny,KERRY D,Male,1970-12-02,Great Britain,Hockey,Head Coach,Men,../../../en/results/hockey/athlete-profile-n1444647-kerry-danny.htm
KIM Chanbin,KIM C,Male,1985-05-10,Republic of Korea,Football,Head Coach,,../../../en/results/football/athlete-profile-n1341066-kim-chanbin.htm
KIM Hagbum,KIM H,Male,1960-03-01,Republic of Korea,Football,Head Coach,Men,../../../en/results/football/athlete-profile-n9171064-kim-hagbum.htm
KIM Jae Hyun,KIM JH,Male,1975-10-02,Republic of Korea,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1333159-kim-jae-hyun.htm
KIM Jongkook,KIM J,Male,1973-09-14,Republic of Korea,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1333160-kim-jongkook.htm
KIRALY Karch,KIRALY K,Male,1960-11-03,United States of America,Volleyball,Head Coach,Women,../../../en/results/volleyball/athlete-profile-n1298673-kiraly-karch.htm
KIRKELY Ulrik,KIRKELY U,Male,1972-01-05,Denmark,Handball,Coach,Women,../../../en/results/handball/athlete-profile-n1315306-kirkely-ulrik.htm
KIRKPATRICK Andrew,KIRKPATRICK A,Male,1984-05-06,Australia,Baseball/Softball,Coach,Softball,../../../en/results/baseball-softball/athlete-profile-n1484457-kirkpatrick-andrew.htm
KITABAYASHI Kenji,KITABAYASHI K,Male,1967-12-29,Japan,Handball,Coach,,../../../en/results/handball/athlete-profile-n1315300-kitabayashi-kenji.htm
KLARENBEEK Auke,KLARENBEEK A,Male,1976-07-20,Netherlands,Handball,Coach,,../../../en/results/handball/athlete-profile-n1458573-klarenbeek-auke.htm
KNEZEVIC Nemanja,KNEZEVIC N,Male,1984-01-11,Montenegro,Water Polo,Head Coach,Men,../../../en/results/water-polo/athlete-profile-n1303735-knezevic-nemanja.htm
KOFFI Anthony,KOFFI A,Male,1953-09-13,Côte d'Ivoire,Football,Head Coach,,../../../en/results/football/athlete-profile-n1323742-koffi-anthony.htm
KONSTANTINOV Aleksei,KONSTANTINOV A,Male,1983-06-17,ROC,Volleyball,Head Coach,,../../../en/results/volleyball/athlete-profile-n1435987-konstantinov-aleksei.htm
KRIKORIAN Adam,KRIKORIAN A,Male,1974-07-22,United States of America,Water Polo,Head Coach,Women,../../../en/results/water-polo/athlete-profile-n1320578-krikorian-adam.htm
KRIST JANSSON Aron,KRIST JANSSON A,Male,1972-07-14,Iceland,Handball,Coach,Men,../../../en/results/handball/athlete-profile-n1301237-krist-jansson-aron.htm
KRUMBHOLZ Olivier,KRUMBHOLZ O,Male,1958-07-12,France,Handball,Coach,Women,../../../en/results/handball/athlete-profile-n1439966-krumbholz-olivier.htm
KULESZA Kasia,KULESZA K,Female,1976-08-29,Canada,Artistic Swimming,Coach,Team,../../../en/results/artistic-swimming/athlete-profile-n1450732-kulesza-kasia.htm
KUNTZ Stefan,KUNTZ S,Male,1962-10-30,Germany,Football,Head Coach,Men,../../../en/results/football/athlete-profile-n1325356-kuntz-stefan.htm
KUZIN Andrey,KUZIN A,Male,1978-10-29,ROC,Rugby Sevens,Head Coach,Women,../../../en/results/rugby-sevens/athlete-profile-n1408386-kuzin-andrey.htm
KWIEK Marcos,KWIEK M,Male,1967-07-18,Brazil,Volleyball,Head Coach,Women,../../../en/results/volleyball/athlete-profile-n1295679-kwiek-marcos.htm
LAIDLAW Clark,LAIDLAW C,Male,1977-07-16,Great Britain,Rugby Sevens,Head Coach,Men,../../../en/results/rugby-sevens/athlete-profile-n1473923-laidlaw-clark.htm
LAMAS Julio,LAMAS J,Male,1964-06-09,Argentina,Basketball,Coach,Men,../../../en/results/basketball/athlete-profile-n1313651-lamas-julio.htm
LANG Ping,LANG P,Female,1960-12-10,People's Republic of China,Volleyball,Head Coach,Women,../../../en/results/volleyball/athlete-profile-n1342738-lang-ping.htm
LAVARINI Stefano,LAVARINI S,Male,1979-01-17,Italy,Volleyball,Head Coach,Women,../../../en/results/volleyball/athlete-profile-n1320648-lavarini-stefano.htm
LAZARO CORRAL Jesus,LAZARO CORRAL J,Male,1971-12-21,Spain,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1322506-lazaro-corral-jesus.htm
LEE Jong Yeol,LEE JY,Male,1973-01-28,Republic of Korea,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1333162-lee-jong-yeol.htm
LETELIER Jose,LETELIER J,Male,1966-05-23,Chile,Football,Head Coach,Women,../../../en/results/football/athlete-profile-n1335536-letelier-jose.htm
LOCK Adrian Mayner,LOCK AM,Male,1976-02-23,Great Britain,Hockey,Head Coach,Women,../../../en/results/hockey/athlete-profile-n1355307-lock-adrian-mayner.htm
LOFTUS Adriana,LOFTUS A,Female,1958-06-28,Mexico,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1301560-loftus-adriana.htm
LOPES BARBOSA Leonard,LOPES BARBOSA L,Male,1982-07-04,Brazil,Volleyball,Head Coach,,../../../en/results/volleyball/athlete-profile-n1459291-lopes-barbosa-leonard.htm
LOPEZ GUILLEN Melvyn,LOPEZ GUILLEN M,Male,1974-07-05,Dominican Republic,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1468694-lopez-guillen-melvyn.htm
LOPEZ Monica Susana,LOPEZ MS,Female,1959-12-19,Argentina,Artistic Swimming,Coach,,../../../en/results/artistic-swimming/athlete-profile-n1332306-lopez-monica-susana.htm
LORRAINE Andrew,LORRAINE A,Male,1972-08-11,United States of America,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1282219-lorraine-andrew.htm
LOUCKS Luke,LOUCKS L,Male,1990-04-01,United States of America,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1400532-loucks-luke.htm
LOZANO Jaime,LOZANO J,Male,1978-09-29,Mexico,Football,Head Coach,Men,../../../en/results/football/athlete-profile-n1353553-lozano-jaime.htm
MACEK Anze,MACEK A,Male,1991-06-10,Slovenia,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1437110-macek-anze.htm
MACKINTOSH Euan,MACKINTOSH E,Male,1985-09-06,Great Britain,Rugby Sevens,Head Coach,Women,../../../en/results/rugby-sevens/athlete-profile-n1307120-mackintosh-euan.htm
MAEDA Kenzo,MAEDA K,Male,1982-06-27,Japan,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1313654-maeda-kenzo.htm
MAHLANGU Sibusiso,MAHLANGU S,Male,1984-02-12,South Africa,Football,Head Coach,,../../../en/results/football/athlete-profile-n1325041-mahlangu-sibusiso.htm
MAKIRI Hare,MAKIRI H,Male,1978-05-31,New Zealand,Rugby Sevens,Head Coach,Women,../../../en/results/rugby-sevens/athlete-profile-n1315532-makiri-hare.htm
MALJKOVIC Marina,MALJKOVIC M,Female,1981-09-26,Serbia,Basketball,Coach,Women,../../../en/results/basketball/athlete-profile-n1344396-maljkovic-marina.htm
MANENTI John,MANENTI J,Male,1971-03-30,Australia,Rugby Sevens,Head Coach,Women,../../../en/results/rugby-sevens/athlete-profile-n1473099-manenti-john.htm
MANZANILLO Andres,MANZANILLO A,Male,1977-08-01,Venezuela,Volleyball,Head Coach,,../../../en/results/volleyball/athlete-profile-n1308821-manzanillo-andres.htm
MARCZ Tamas,MARCZ T,Male,1974-07-17,Hungary,Water Polo,Head Coach,Men,../../../en/results/water-polo/athlete-profile-n1364592-marcz-tamas.htm
MARIJNE Sjoerd,MARIJNE S,Male,1974-04-20,Netherlands,Hockey,Head Coach,Women,../../../en/results/hockey/athlete-profile-n1309670-marijne-sjoerd.htm
MARINELLI Fernando,MARINELLI F,Male,1979-09-27,Argentina,Football,Head Coach,,../../../en/results/football/athlete-profile-n1335544-marinelli-fernando.htm
MARTIN LOZANO David,MARTIN LOZANO D,Male,1977-01-02,Spain,Water Polo,Head Coach,Men,../../../en/results/water-polo/athlete-profile-n1328036-martin-lozano-david.htm
MARTIN Paul,MARTIN P,Male,1982-10-12,South Africa,Water Polo,Head Coach,Men,../../../en/results/water-polo/athlete-profile-n1399919-martin-paul.htm
MASHA Mario,MASHA M,Male,1982-07-22,South Africa,Football,Head Coach,,../../../en/results/football/athlete-profile-n1610833-masha-mario.htm
MATSUNO Yoshiyuki,MATSUNO Y,Male,1986-04-16,Japan,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1313680-matsuno-yoshiyuki.htm
MATSUODANI Yasushi,MATSUODANI Y,Male,1977-09-20,Japan,Football,Head Coach,,../../../en/results/football/athlete-profile-n1329578-matsuodani-yasushi.htm
MAYBURY Elena,MAYBURY E,Female,1985-10-17,Great Britain,Football,Head Coach,,../../../en/results/football/athlete-profile-n1444400-maybury-elena.htm
MAYONNADE Emmanuel,MAYONNADE E,Male,1983-06-12,France,Handball,Coach,Women,../../../en/results/handball/athlete-profile-n1457064-mayonnade-emmanuel.htm
MAZZANTI Davide,MAZZANTI D,Male,1976-10-15,Italy,Volleyball,Head Coach,Women,../../../en/results/volleyball/athlete-profile-n1337663-mazzanti-davide.htm
McCRORIE Christy,McCRORIE C,Female,1984-06-05,South Africa,Hockey,Coach,,../../../en/results/hockey/athlete-profile-n1542943-mccrorie-christy.htm
McLEOD Shane,McLEOD S,Male,1968-09-04,New Zealand,Hockey,Head Coach,Men,../../../en/results/hockey/athlete-profile-n1402028-mcleod-shane.htm
MEDINA Bobby,MEDINA B,Male,1963-09-24,United States of America,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1401820-medina-bobby.htm
MENDEZ Marcelo Rodolfo,MENDEZ MR,Male,1964-06-20,Argentina,Volleyball,Head Coach,Men,../../../en/results/volleyball/athlete-profile-n1366973-mendez-marcelo-rodolfo.htm
MENTOOR Delaine,MENTOOR D,Female,1993-05-26,South Africa,Water Polo,Head Coach,Women,../../../en/results/water-polo/athlete-profile-n1399767-mentoor-delaine.htm
MERCEDES del ROSARIO Jose,MERCEDES del ROSA.,Male,1964-03-19,Dominican Republic,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1468726-mercedes-del-rosario-jose.htm
MESTDAGH Philip,MESTDAGH P,Male,1963-01-26,Belgium,Basketball,Coach,Women,../../../en/results/basketball/athlete-profile-n1393340-mestdagh-philip.htm
MEZHENINA Valeriia,MEZHENINA V,Female,1965-03-04,Ukraine,Artistic Swimming,Coach,Team,../../../en/results/artistic-swimming/athlete-profile-n1449844-mezhenina-valeriia.htm
MEZIANE Rachid,MEZIANE R,Male,1980-02-10,France,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1337976-meziane-rachid.htm
MIHAILOVIC Predrag,MIHAILOVIC P,Male,1974-02-24,Australia,Water Polo,Head Coach,Women,../../../en/results/water-polo/athlete-profile-n1483341-mihailovic-predrag.htm
MIREJOVSKY Michal,MIREJOVSKY M,Male,1981-10-12,Czech Republic,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1432598-mirejovsky-michal.htm
MIRET GARCIA Daniel,MIRET GARCIA D,Male,1985-06-25,Spain,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1400379-miret-garcia-daniel.htm
MIURA Keiko,MIURA K,Female,1975-03-16,Japan,Hockey,Coach,Women,../../../en/results/hockey/athlete-profile-n1318205-miura-keiko.htm
MIYAKAWA Miya,MIYAKAWA M,Female,1974-12-12,Japan,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1315873-miyakawa-miya.htm
MIYAKAWA Miya,MIYAKAWA M,Female,1974-12-12,Japan,Artistic Swimming,Coach,Team,../../../en/results/artistic-swimming/athlete-profile-n1315873-miyakawa-miya.htm
MLADENOVA Albena,MLADENOVA A,Female,1964-06-10,Austria,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1323387-mladenova-albena.htm
MOHAMED Sayeda,MOHAMED S,Female,1970-11-08,Egypt,Football,Head Coach,,../../../en/results/football/athlete-profile-n1484278-mohamed-sayeda.htm
MOHAMMED Silifat,MOHAMMED S,Female,1971-01-20,Nigeria,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1479236-mohammed-silifat.htm
MONDELO Lucas,MONDELO L,Male,1967-07-28,Spain,Basketball,Coach,Women,../../../en/results/basketball/athlete-profile-n1322507-mondelo-lucas.htm
MONTICO Loredana,MONTICO L,Female,1965-09-30,Italy,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1483950-montico-loredana.htm
MONTICO Loredana,MONTICO L,Female,1965-09-30,Italy,Artistic Swimming,Coach,Team,../../../en/results/artistic-swimming/athlete-profile-n1483950-montico-loredana.htm
MORIYASU Hajime,MORIYASU H,Male,1968-08-23,Japan,Football,Head Coach,Men,../../../en/results/football/athlete-profile-n1329561-moriyasu-hajime.htm
MOTOMIYA Makihiro,MOTOMIYA M,Male,1968-12-31,Japan,Water Polo,Head Coach,Women,../../../en/results/water-polo/athlete-profile-n1316554-motomiya-makihiro.htm
MULATI Adilijiang,MULATI A,Male,1985-10-26,People's Republic of China,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1324783-mulati-adilijiang.htm
MULBERG Nate,MULBERG N,Male,1992-01-05,United States of America,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1282237-mulberg-nate.htm
MUNOZ Noe,MUNOZ N,Male,1970-12-03,Mexico,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1825806-munoz-noe.htm
MURATA Yoshinori,MURATA Y,Male,1974-04-24,Japan,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1336506-murata-yoshinori.htm
MWAPE Bruce,MWAPE B,Male,1959-10-26,Zambia,Football,Head Coach,Women,../../../en/results/football/athlete-profile-n1477392-mwape-bruce.htm
NAGAE Shoji,NAGAE S,Male,1987-09-04,Japan,Volleyball,Head Coach,,../../../en/results/volleyball/athlete-profile-n1484652-nagae-shoji.htm
NAIDOO Taren,NAIDOO T,Female,1987-12-21,South Africa,Hockey,Coach,Women,../../../en/results/hockey/athlete-profile-n1318765-naidoo-taren.htm
NAKADA Kumi,NAKADA K,Female,1965-09-03,Japan,Volleyball,Head Coach,Women,../../../en/results/volleyball/athlete-profile-n1316363-nakada-kumi.htm
NAKAGAICHI Yuichi,NAKAGAICHI Y,Male,1967-11-02,Japan,Volleyball,Head Coach,Men,../../../en/results/volleyball/athlete-profile-n1316304-nakagaichi-yuichi.htm
NCUBE Mthandazo,NCUBE M,Male,1981-04-10,South Africa,Football,Head Coach,,../../../en/results/football/athlete-profile-n1610836-ncube-mthandazo.htm
NEVES Christophe,NEVES C,Male,1977-08-03,France,Football,Head Coach,,../../../en/results/football/athlete-profile-n1385704-neves-christophe.htm
NISHIDA Takumi,NISHIDA T,Male,1991-09-01,Japan,Rugby Sevens,Head Coach,,../../../en/results/rugby-sevens/athlete-profile-n1315538-nishida-takumi.htm
NOTOANE David,NOTOANE D,Male,1969-02-07,South Africa,Football,Head Coach,Men,../../../en/results/football/athlete-profile-n1325049-notoane-david.htm
OCA GAIA Miguel Angel,OCA GAIA M,Male,1970-04-15,Spain,Water Polo,Head Coach,Women,../../../en/results/water-polo/athlete-profile-n1328039-oca-gaia-miguel-angel.htm
ODAUDU Ogoh,ODAUDU O,Male,1981-08-03,Nigeria,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1479230-odaudu-ogoh.htm
OLOO Felix,OLOO F,Male,1984-11-11,Kenya,Rugby Sevens,Head Coach,Women,../../../en/results/rugby-sevens/athlete-profile-n1327167-oloo-felix.htm
OMOTO Yoji,OMOTO Y,Male,1967-06-26,Japan,Water Polo,Head Coach,Men,../../../en/results/water-polo/athlete-profile-n1316505-omoto-yoji.htm
PAGAN CRISTOBAL Angel,PAGAN CRISTOBAL A,Male,1964-10-31,United States of America,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1298218-pagan-cristobal-angel.htm
PALERMI Giovanna,PALERMI G,Female,1964-01-15,Italy,Baseball/Softball,Coach,Softball,../../../en/results/baseball-softball/athlete-profile-n1325707-palermi-giovanna.htm
PANTOJA Hernan,PANTOJA H,Male,1955-03-29,Venezuela,Volleyball,Head Coach,,../../../en/results/volleyball/athlete-profile-n1308812-pantoja-hernan.htm
PARADELO David,PARADELO D,Male,1985-10-07,Canada,Water Polo,Head Coach,Women,../../../en/results/water-polo/athlete-profile-n1433333-paradelo-david.htm
PARRONDO Roberto,PARRONDO R,Male,1980-01-12,Spain,Handball,Coach,Men,../../../en/results/handball/athlete-profile-n1303861-parrondo-roberto.htm
PAUL Henry,PAUL H,Male,1974-02-10,Great Britain,Rugby Sevens,Head Coach,Men,../../../en/results/rugby-sevens/athlete-profile-n1450999-paul-henry.htm
PEDRERO Ofelia,PEDRERO O,Female,1988-03-28,Mexico,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1301565-pedrero-ofelia.htm
PEREIRA Paulo Jorge,PEREIRA PJ,Male,1965-03-21,Portugal,Handball,Coach,Men,../../../en/results/handball/athlete-profile-n1451585-pereira-paulo-jorge.htm
PEREZ Jose,PEREZ J,Male,1982-01-24,Venezuela,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1418926-perez-jose.htm
PIBIRI Rossella,PIBIRI R,Female,1982-04-21,Italy,Artistic Swimming,Coach,,../../../en/results/artistic-swimming/athlete-profile-n1310730-pibiri-rossella.htm
PISKAREVA Ekaterina,PISKAREVA E,Female,1971-02-26,ROC,Artistic Swimming,Coach,Team,../../../en/results/artistic-swimming/athlete-profile-n1431714-piskareva-ekaterina.htm
PIZZOLINI Federico,PIZZOLINI F,Male,1964-05-09,Italy,Baseball/Softball,Head Coach,Softball,../../../en/results/baseball-softball/athlete-profile-n1325706-pizzolini-federico.htm
POPOVIC Bojana,POPOVIC B,Female,1979-11-20,Montenegro,Handball,Coach,Women,../../../en/results/handball/athlete-profile-n1330960-popovic-bojana.htm
POPOVICH Gregg,POPOVICH G,Male,1949-01-28,United States of America,Basketball,Coach,Men,../../../en/results/basketball/athlete-profile-n1312715-popovich-gregg.htm
POROBIC Petar,POROBIC P,Male,1957-05-28,Montenegro,Water Polo,Head Coach,Women,../../../en/results/water-polo/athlete-profile-n1376868-porobic-petar.htm
POTTER Anthony,POTTER A,Male,1972-05-11,Australia,Hockey,Coach,Men,../../../en/results/hockey/athlete-profile-n1483118-potter-anthony.htm
POWELL Katrina,POWELL K,Female,1972-04-08,Australia,Hockey,Head Coach,Women,../../../en/results/hockey/athlete-profile-n1483179-powell-katrina.htm
POWELL Neil,POWELL N,Male,1978-06-28,South Africa,Rugby Sevens,Head Coach,Men,../../../en/results/rugby-sevens/athlete-profile-n1284765-powell-neil.htm
PRADO BRANAS Joaquin,PRADO BRANAS J,Male,1976-03-17,Spain,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1322509-prado-branas-joaquin.htm
PRIESTMAN Bev,PRIESTMAN B,Female,1986-04-29,Great Britain,Football,Head Coach,Women,../../../en/results/football/athlete-profile-n1469450-priestman-bev.htm
RADOI Mirel,RADOI M,Male,1981-03-22,Romania,Football,Head Coach,Men,../../../en/results/football/athlete-profile-n1313039-radoi-mirel.htm
RECKINGER Xavier,RECKINGER X,Male,1983-12-20,Belgium,Hockey,Head Coach,Women,../../../en/results/hockey/athlete-profile-n1319558-reckinger-xavier.htm
REID Graham John,REID GJ,Male,1964-04-09,Australia,Hockey,Head Coach,Men,../../../en/results/hockey/athlete-profile-n1309599-reid-graham-john.htm
REQUENA PERICAS Judit,REQUENA PERICAS J,Female,1992-11-26,Spain,Artistic Swimming,Coach,Team,../../../en/results/artistic-swimming/athlete-profile-n1328041-requena-pericas-judit.htm
RETEGUI Carlos Jose,RETEGUI CJ,Male,1969-12-19,Argentina,Hockey,Head Coach,Men,../../../en/results/hockey/athlete-profile-n1361834-retegui-carlos-jose.htm
RETEGUI Carlos Jose,RETEGUI CJ,Male,1969-12-19,Argentina,Hockey,Head Coach,Women,../../../en/results/hockey/athlete-profile-n1361834-retegui-carlos-jose.htm
RIBERA ROMANS Jordi,RIBERA ROMANS J,Male,1963-03-05,Spain,Handball,Coach,Men,../../../en/results/handball/athlete-profile-n1313332-ribera-romans-jordi.htm
RIISE Hege,RIISE H,Female,1969-07-18,Norway,Football,Head Coach,Women,../../../en/results/football/athlete-profile-n1464724-riise-hege.htm
RILLIE John,RILLIE J,Male,1971-11-04,Australia,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1895587-rillie-john.htm
RIPOLL Sylvain,RIPOLL S,Male,1971-08-15,France,Football,Head Coach,Men,../../../en/results/football/athlete-profile-n1406207-ripoll-sylvain.htm
RODRIGUEZ Eduardo Rafael,RODRIGUEZ ER,Male,1974-05-17,Argentina,Volleyball,Head Coach,,../../../en/results/volleyball/athlete-profile-n1365441-rodriguez-eduardo-rafael.htm
ROEDL Henrik,ROEDL H,Male,1969-03-04,Germany,Basketball,Coach,Men,../../../en/results/basketball/athlete-profile-n1327353-roedl-henrik.htm
ROQUES Tony,ROQUES T,Male,1978-09-07,Great Britain,Rugby Sevens,Head Coach,Men,../../../en/results/rugby-sevens/athlete-profile-n1468862-roques-tony.htm
SACCHETTI Meo,SACCHETTI M,Male,1953-08-20,Italy,Basketball,Coach,Men,../../../en/results/basketball/athlete-profile-n1348383-sacchetti-meo.htm
SALAM Mohamed,SALAM M,Male,1981-10-05,Egypt,Football,Head Coach,,../../../en/results/football/athlete-profile-n1378825-salam-mohamed.htm
SAMMELVUO Tuomas,SAMMELVUO T,Male,1976-02-16,Finland,Volleyball,Head Coach,Men,../../../en/results/volleyball/athlete-profile-n1435978-sammelvuo-tuomas.htm
