name,short_name,gender,birth_date,country,discipline,function,event,url
BLECHER SIDOROVA Svetlana,BLECHER SIDOROVA S,Female,1965-06-17,Israel,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1296532-blecher-sidorova-svetlana.htm
BLENGINI Gianlorenzo,BLENGINI G,Male,1971-12-29,Italy,Volleyball,Head Coach,Men,../../../en/results/volleyball/athlete-profile-n1340772-blengini-gianlorenzo.htm
BOLTON Alice,BOLTON A,Female,1967-05-25,United States of America,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1401810-bolton-alice.htm
BREIVIK Marit,BREIVIK M,Female,1955-04-10,Norway,Handball,Coach,,../../../en/results/handball/athlete-profile-n1346403-breivik-marit.htm
BRODERICK William,BRODERICK W,Male,1992-09-17,Great Britain,Rugby Sevens,Head Coach,Women,../../../en/results/rugby-sevens/athlete-profile-n1314175-broderick-william.htm
BRONDELLO Sandy,BRONDELLO S,Female,1968-08-20,Australia,Basketball,Coach,Women,../../../en/results/basketball/athlete-profile-n1328297-brondello-sandy.htm
BROWN Chris,BROWN C,Male,1985-09-26,New Zealand,Rugby Sevens,Head Coach,Women,../../../en/results/rugby-sevens/athlete-profile-n1317915-brown-chris.htm
BROWN Michael,BROWN M,Male,1970-03-05,United States of America,Basketball,Coach,Men,../../../en/results/basketball/athlete-profile-n1406004-brown-michael.htm
BRUN Aristide,BRUN A,Male,1974-05-09,Austria,Artistic Swimming,Coach,,../../../en/results/artistic-swimming/athlete-profile-n1331226-brun-aristide.htm
BUNTING Allan,BUNTING A,Male,1978-02-17,New Zealand,Rugby Sevens,Head Coach,Women,../../../en/results/rugby-sevens/athlete-profile-n1473921-bunting-allan.htm
BUSATO Sergio,BUSATO S,Male,1966-01-24,Italy,Volleyball,Head Coach,Women,../../../en/results/volleyball/athlete-profile-n1435902-busato-sergio.htm
BUSENKELL Axel,BUSENKELL A,Male,1971-11-26,Germany,Football,Head Coach,,../../../en/results/football/athlete-profile-n1325359-busenkell-axel.htm
BYRNE Mick,BYRNE M,Male,1958-12-02,Australia,Rugby Sevens,Head Coach,Women,../../../en/results/rugby-sevens/athlete-profile-n1469761-byrne-mick.htm
CADENAS MONTANES Manuel,CADENAS MONTANES M,Male,1955-02-02,Spain,Handball,Coach,Men,../../../en/results/handball/athlete-profile-n1359651-cadenas-montanes-manuel.htm
CALDAS Max,CALDAS M,Male,1973-03-09,Netherlands,Hockey,Head Coach,Men,../../../en/results/hockey/athlete-profile-n1466844-caldas-max.htm
CAMPAGNA Alessandro,CAMPAGNA A,Male,1963-06-26,Italy,Water Polo,Head Coach,Men,../../../en/results/water-polo/athlete-profile-n1340757-campagna-alessandro.htm
CAMPBELL Eric,CAMPBELL E,Male,1962-05-03,United States of America,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1460670-campbell-eric.htm
CANO SORIANO Joselito,CANO SORIANO J,Male,1962-03-07,United States of America,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1470343-cano-soriano-joselito.htm
CARO Carlos,CARO C,Male,1969-08-12,United States of America,Baseball/Softball,Coach,Softball,../../../en/results/baseball-softball/athlete-profile-n1306766-caro-carlos.htm
CASAREZ Mary Lucy,CASAREZ ML,Female,1960-05-06,United States of America,Baseball/Softball,Coach,Softball,../../../en/results/baseball-softball/athlete-profile-n1313731-casarez-mary-lucy.htm
CASTILLO Nicolas,CASTILLO N,Male,1974-02-16,Mexico,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1466839-castillo-nicolas.htm
CASTRO Alex,CASTRO A,Male,1981-05-27,Chile,Football,Head Coach,,../../../en/results/football/athlete-profile-n1364526-castro-alex.htm
CHAMBERS Cheryl,CHAMBERS C,Female,1968-04-18,Australia,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1328298-chambers-cheryl.htm
CHEPAK Anastasiya,CHEPAK A,Female,1985-07-05,Ukraine,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1361585-chepak-anastasiya.htm
